Carimbo de data/hora,At this point ... [... I'm comfortable working with Intellij],At this point ... [... I'm comfortable programming in Java],At this point ... [... I know well the GoF design patterns],At this point ... [... I can recognize GoF design patterns in code],At this point ... [... I can implement GoF design patterns],Gender,What is the highest degree or level of education you have completed?,"If you are a student from MIEIC, what is your current year?","1.1. Before starting this task, please write down the current time:",1.2. This source code contains one or more pattern instances. Which design pattern(s) are represented in the system?,"1.3. Document the pattern instances that you have found as a UML class diagram. Do it as was instructed previously, using draw.io, and specifying pattern roles as class stereotypes","1.4. After you have finished this task, please write down the current time:","2.1. Before starting this task, please write down the current time:","2.2. John is trying to implement a simple system for controlling the light of a lightbulb, in his house. Unfortunatelly, he can't get it to work. Which pattern participant(s) are missing?","2.4. After you have finished this task, please write down the current time:","3.1. Before starting this task, please write down the current time:","3.2. Identify the main GoF pattern in this code and explain what changes (objects, pattern roles) would you need to apply to the system to contemplate these requirements",3.3. Implement those changes and add the pattern instances documentation required to understand the extended system. (Here submit only the class diagrams),"3.4. After you have finished this task, please write down the current time:",Create a folder containing the folders: 1) task2 and 2) task3. Inside those folders place the respective source code that resulted from your solution to the tasks. Zip the folder and submit it below:,Select your opinion towards the following sentences: [I found it easy to identify design patterns in the source code],Select your opinion towards the following sentences: [I found it easy to document the code using pattern instances in UML format],Select your opinion towards the following sentences: [The communication environment (remote computer) had a negative impact in the experiment]
2020/05/22 19:10:59,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Male,Master's degree,,18:16:00,Observer,https://drive.google.com/open?id=1gcmftd_f_GQeJ2reYiRp7D4VM2ID2VYI,18:29:00,18:29:00,ConcreteCommand,18:47:00,18:48:00,Create Giraffe class. Add Giraffe to AnimalFactory. Add Giraffe in Main.,https://drive.google.com/open?id=1OuQKESdllxq9i84IlhtNq6eoFWC86eSD,19:10:00,https://drive.google.com/open?id=1fA4v9VF8z01H3oquLrPT0CREY9gMJCJj,Agree,Neutral,Strongly Disagree
2020/05/25 15:38:49,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,High School,4th,14:39:00,Mediator,https://drive.google.com/open?id=1RDsuiaVFaQJON6bVMVYssdEa2WyoTCq5,14:58:00,14:59:00,Command,15:17:00,15:18:00,"Had to add Giraffe class, edit AnimalFractory class and edit client class to add animal",https://drive.google.com/open?id=1WvHLnYQDxRT5DlppDAuVPQZypIHM74gg,15:37:00,https://drive.google.com/open?id=1gL3mcqoAvW8JVmdUHvc3W8hYm8heQTvi,Strongly Disagree,Agree,Strongly Disagree
2020/05/25 18:21:00,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,Master's degree,,17:43:00,Observer,https://drive.google.com/open?id=15ffJ7fsb0kISZNVeTfZmm0eZpgVhHtB9,17:50:00,17:50:00,ConcreteCommand,18:03:00,18:03:00,"Abstract Factory. We need to add a new ConcreteProduct (giraffe), and modify the ConcreteFactory (AnimalFactory) to also be able to create a giraffe instance.",https://drive.google.com/open?id=13cVHu2nsBMPBbndtsxZAVctrAxTpJUtJ,18:20:00,https://drive.google.com/open?id=1JoeJ7C6UCGU7UXKB85yHVAB834XtyUWN,Agree,Agree,Strongly Disagree
2020/05/27 10:46:34,Agree,Agree,Neutral,Neutral,Neutral,Male,Bachelor's degree,5th,10:09:00,Observer,https://drive.google.com/open?id=1CgpA6B1gGYNmXzB-8O-7Il9GmhsztcQk,10:26:00,10:26:00,ConcreteCommand,10:33:00,10:33:00,"Abstract factory. Add a Girafe (concrete product) class in the animals package, that extends Animal, similar to the other animals. Add a girafe condition to the AnimalFactory getAnimal(). Add a Girafe object to the animalsInTheZoo structure.",https://drive.google.com/open?id=1eQfNWzjSw91Ls3_5M7RuEgTT7klgTZ4x,10:46:00,https://drive.google.com/open?id=1iBBz0DFZgnfpsKgP8piRvLKnTfRgLle_,Neutral,Agree,Strongly Disagree
2020/05/27 15:10:51,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Male,Bachelor's degree,5th,14:30:00,Observer,https://drive.google.com/open?id=1BtaYsMhQTWrKHPVcn8NrF_wxMVY745kw,14:45:00,14:45:00,ConcreteCommand,14:52:00,14:54:00,"Abstract Factory. Objects -> Add on package animals the Giraffe and extending Animal. Add Giraffe on AnimalFactory. Finally, add Girafe to the zoo. Pattern Roles -> Giraffe is ConcreteProduct. Animal -> Abstract Product. AnimalFactory ->Concrete Factory. Abstract Factory -> Species Factory. Client -> Main. ",https://drive.google.com/open?id=1tb-QGSGs0U2Xwr6c9B93ws1Dj-Ec1OhH,15:09:00,https://drive.google.com/open?id=12F0y4OP0boSpW9W7v5JDREyfHNYyxCgD,Agree,Disagree,Strongly Disagree
2020/06/01 12:26:06,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Male,Master's degree,4th,11:32:00,Observer,https://drive.google.com/open?id=1V14DH9rX9lcOCSNjCqBcMM4HtZmzNtTU,11:59:00,11:59:00,ConcreteCommand,12:08:00,12:09:00,Abstract Factory :: Giraffe extends Animal ; Create Giraffe on AnimalFactory (Giraffe role: concrete product),https://drive.google.com/open?id=1p3WzX3Rudlt4Bt2sbn9P4XLFuqg97fIZ,12:25:00,https://drive.google.com/open?id=1ug7BxJSnA8I0vEjTIRpB0LOUOOO5b5m7,Agree,Agree,Strongly Disagree
2020/06/01 15:40:34,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,Bachelor's degree,4th,14:42:00,Observer,https://drive.google.com/open?id=1zz4H49Z1tLFhGAHQcK8PQ_hP-Yw8KQee,15:07:00,15:07:00,ConcreteCommand,15:18:00,15:18:00,"Abstract Factory,  Add to Animal factory the new ""Girafe"" creator, Add the new concrete class ""Girafe"" that extends from ""Animal"" abstract class. ""Girafe"" role is concrete product.",https://drive.google.com/open?id=1ArnfpXkhlBgQnMh7FzGUDxNqxThDPraN,15:39:00,https://drive.google.com/open?id=1LnFp_7z7f5DqchBYtap9Cl4hK9z6k4pm,Agree,Strongly Agree,Strongly Disagree
2020/06/03 16:42:34,Agree,Agree,Neutral,Agree,Agree,Male,High School,2nd,15:04:00,Observer,https://drive.google.com/open?id=1EXs5F-OHcKRPCm-JVks2NVROSwx6fFle,15:18:00,15:18:00,ConcreteCommand,15:24:00,15:24:00,"Abstract Factory
Criar uma nova class Giraffe que implementa a class Animal.
Na class AnimalFactory adicionar return new Giraffe() aos ""else if"".
No main adicionar:
            Animal giraffe = animalFactory.getAnimal(""Giraffe"");
            addAnimalToZoo(giraffe);
Giraffe é concreteProduct",https://drive.google.com/open?id=1nUxVp268vw4CQPNs6-01D7FlJ521Hsvr,15:41:00,https://drive.google.com/open?id=1RvY02bb11TZ8JLBKTrhknzOKgfxbIRBe,Disagree,Neutral,Disagree
2020/06/03 20:33:34,Neutral,Neutral,Disagree,Disagree,Neutral,Male,Bachelor's degree,5th,19:51:00,Observer,https://drive.google.com/open?id=18VaQSv6U0J9xurDFR3ETlTtrxv3gsPWy,20:01:00,20:01:00,"Pattern Command, missing ConcreteCommand",20:17:00,20:18:00,Abstract Factory. Add another class that extends Animal (Giraffe) and extend AnimalFactory . Role: concrete product,https://drive.google.com/open?id=1TSlrl6fHzHxeaFbGyXzzCuzvjPk_Klap,20:32:00,https://drive.google.com/open?id=1nm8rXDBf3V7uYeel1yJfa1RLfx6hKzMv,Agree,Strongly Disagree,Neutral
2020/06/05 18:54:25,Agree,Neutral,Agree,Agree,Neutral,Male,High School,2nd,14:00:00,observer,https://drive.google.com/open?id=1h8YumA9g9oQgliHnhTm-OStpgiJlozpT,14:18:00,14:19:00,"concrete command, client",14:36:00,14:36:00,"Abstract Factory, para adicionar a Girafa(ConcreteProduct) basta criar a classe na package animals e adioná-lo na factory.",https://drive.google.com/open?id=1gOBP1gLU3miJ-G7OqzZh3S6quGXjM-3U,14:53:00,https://drive.google.com/open?id=1Y-VAJjNhX3Fe8GvsLz0bYHuAhLPbExdr,Strongly Agree,Agree,Strongly Disagree
