T11Time;T11DI;T11DE;T12Time;T12DI;T12DE;T21Time;T21DI;T21DE;T22Time;T22DI;T22DE;T31Time;T31DI;T31DE;T32Time;T32DI;T32DE;Intellij;Java;KnowGoF;RecognizeGoF;ImplementGoF;Identify;Document;Env;Group
432;0;2;253;0;5;190;0;3;766;0;0;195;0;0;765;0;7;1;3;3;3;2;4;3;1;0
198;0;2;51;2;1;224;5;1;583;2;1;318;1;0;160;2;0;4;4;3;3;3;5;4;2;1
1100;0;8;200;0;1;250;0;2;620;0;1;760;0;4;360;0;2;4;5;1;1;1;4;5;1;0
335;0;2;11;1;0;160;3;2;190;2;1;321;3;1;150;1;0;4;4;3;3;3;5;5;3;1
956;0;5;544;0;4;177;0;2;283;0;0;462;0;3;450;0;5;5;5;4;4;4;4;4;1;0
56;4;1;76;2;0;98;5;2;582;7;1;205;5;2;145;1;0;4;4;3;3;3;5;5;1;1
51;4;0;39;1;0;20;3;1;260;8;6;76;5;0;131;1;0;2;3;2;2;2;5;5;3;1
290;0;2;283;0;6;333;0;5;487;0;1;450;0;4;393;0;4;3;3;2;2;3;4;1;3;0
735;0;6;158;0;1;214;0;4;178;0;2;645;0;8;324;0;6;5;5;4;4;4;4;2;1;0
66;3;0;42;2;0;65;3;2;474;4;3;206;5;1;173;2;0;2;2;1;1;1;5;5;4;1
862;0;9;231;0;2;266;0;5;771;0;6;320;0;2;767;0;8;2;2;1;1;1;1;4;1;0
32;3;0;45;1;0;42;2;0;348;4;1;170;5;1;180;1;0;5;4;3;3;4;5;5;1;1
131;0;2;240;0;4;176;0;3;494;0;2;493;0;10;414;0;5;3;3;1;1;1;4;4;1;0
626;0;5;214;0;7;150;0;2;215;0;1;335;0;4;339;0;7;4;4;3;3;3;3;4;1;0
180;0;4;592;0;11;138;0;3;157;0;0;547;0;5;450;0;5;4;4;3;4;4;2;3;2;0
128;2;1;92;2;0;136;1;2;690;4;4;308;5;3;141;1;0;5;4;4;4;4;3;5;1;1
90;5;1;109;2;1;145;1;1;508;5;1;150;2;0;152;1;0;4;5;3;3;3;5;5;1;1
67;3;0;50;2;0;122;4;0;988;6;1;250;5;1;176;2;0;1;1;1;1;1;4;5;1;1
173;4;0;64;2;0;125;3;0;492;6;0;350;4;1;277;2;0;4;5;4;4;4;5;5;1;1
546;0;3;540;0;8;224;0;4;782;0;2;478;0;4;360;0;6;4;3;4;4;3;5;4;1;0
94;4;0;32;2;0;127;4;0;208;2;2;320;6;0;111;2;0;5;4;4;4;4;4;5;2;1
